course_id,instructor,instructor_rating
494,,4.0
494,Anwesha Bhattacharya,4.78
494,,4.78
494,,4.2
494,Leslie Sheng Shen,5.0
494,,4.8
494,Michal Kowalik,4.8
392,Marc Melitz,3.63
394,Christopher Foote,3.66
396,Adrien Bilal,3.39
396,Gabriel Chodorow-Reich,3.39
397,Roland Fryer,4.23
400,Judd Cramer,4.15
401,Robert Neugeboren,3.55
411,Gregory Bruich,3.97
413,Melissa Dell,4.06
416,Andrei Shleifer,5.0
419,Robert Barro,3.83
419,Rachel McCleary,3.83
423,Myrto Kalouptsidi,4.1
424,Robert Stavins,3.56
425,Xavier Gabaix,
427,Karen Dynan,4.43
428,Jeremy Stein,4.53
429,Richard Freeman,4.0
432,Jesse Shapiro,5.0
434,Jerry Green,3.65
434,Tomasz Strzalecki,
436,Adrien Bilal,4.42
436,Xavier Gabaix,4.42
438,Christopher Avery,
438,Samuel Richardson,3.63
442,Oliver Hart,4.57
444,Will Dobbie,4.0
446,Dmitry Arkhangelskiy,
448,Davide Viviano,4.88
449,Vincent Pons,5.0
449,Jesse Shapiro,5.0
450,Claudia Goldin,
450,Lawrence Katz,5.0
452,Melissa Dell,
454,Xavier Gabaix,4.29
456,Gabriel Chodorow-Reich,4.14
459,Raj Chetty,4.0
460,David Cutler,4.86
464,Ariel Pakes,4.14
467,Shai Bernstein,3.91
467,Josh Lerner,3.91
468,Samuel Hanson,
468,Adi Sunderam,4.8
470,Amanda Pallais,
476,Melissa Dell,4.63
477,Marcella Alsan,1.0
477,David Cutler,5.0
479,Melissa Dell,4.0
479,Claudia Goldin,1.0
481,,
481,,
481,,
499,Paul Harris,4.67
500,Beth Simpson,4.71
501,Nadine Gaab,4.5
502,Christina Villarreal,4.5
504,Liao Cheng,4.9
505,Rebecca Horwitz-Willis,5.0
506,Nicole Simon,4.6
560,Pia Sorensen,4.67
577,Marko Loncar,4.08
579,Seymur Hasanov,3.22
581,George Clay,4.52
581,Josh Lerner,4.52
581,Richard Bennett,4.66
581,Spencer Rascoff,4.66
583,Paul Bottino,4.58
585,Chris Lombardo,3.75
585,Gu-Yeon Wei,3.75
585,Fawwaz Habbal,3.67
585,Samir Mitragotri,
522,Katia Bertoldi,2.81
522,Benjamin Brown,2.81
522,Anas Chalah,2.81
522,Leonardo Gomez,2.81
522,Melissa Hancock,2.81
522,Seymur Hasanov,2.81
522,Elaine Kristant,
522,Chris Lombardo,2.81
522,Mohammad Souri,2.81
522,Bryan Yoon,2.81
524,Chris Lombardo,4.38
525,Scot Martin,
526,Michael Brenner,3.88
527,Joost Vlassak,3.38
528,Zachary Schiffer,4.17
530,Katia Bertoldi,
531,Alexandros Haridis,4.14
533,Todd Zickler,4.11
534,Yue Lu,4.48
535,Evelyn Hu,4.71
538,Flavio Calmon,
543,Kiyoul Yang,4.64
545,Frans Spaepen,3.67
546,Xin Li,4.38
548,David Clarke,4.0
549,Philippe Cluzel,4.13
551,Demba Ba,4.39
552,Na Li,4.25
557,Shriya Srinivasan,3.69
557,Conor Walsh,3.69
558,Katia Bertoldi,
559,David Mooney,
562,Maurice Smith,4.21
563,Chuck Hoberman,4.57
564,Heng Yang,4.71
565,Jia Liu,4.33
568,Federico Capasso,3.75
570,Kiyoul Yang,4.64
573,Alan Maccormack,
573,Russell J Wilcox,
575,Suzanne Smith,
576,Woodward Yang,4.0
638,Claire Messud,
639,Musa Syeed,4.5
641,Laura van den Berg,5.0
642,Tracy K. Smith,4.57
645,Teju Cole,4.38
648,Laura van den Berg,5.0
649,Claire Messud,5.0
652,Rachel Kaadzi Ghansah,4.6
654,Heidi Schreck,4.86
657,Louisa Thomas,4.8
659,Musa Syeed,5.0
660,Melissa Cundieff,
662,Melissa Cundieff,5.0
664,Darcy Frey,4.88
664,Darcy Frey,4.89
665,Paul Yoon,4.63
666,Jorie Graham,
668,Paul Yoon,5.0
670,Valeria Luiselli,4.71
611,Deidre Lynch,4.38
623,Jesse McCarthy,
627,David Levine,4.6
634,Daniel Donoghue,3.75
634,Sarah Dimick,4.5
635,Elinor Hitt,5.0
635,,5.0
635,Katherine Horgan,5.0
635,,4.0
635,Karina Mathew,4.0
635,,4.0
587,Anna Wilson,4.71
588,Alan Niles,4.6
589,Gordon Teskey,4.38
591,Tara Menon,4.85
592,Vidyan Ravinthiran,5.0
593,Beth Blum,4.77
594,John Stauffer,
595,Tracy K. Smith,4.73
596,Namwali Serpell,4.84
597,Philip Fisher,4.62
598,Nicholas Watson,4.57
599,Stephanie Burt,3.47
601,James Wood,4.58
604,Peter Sacks,4.8
606,Vidyan Ravinthiran,4.54
608,Maria Dikcis,4.65
613,Leah Whittington,4.75
615,Henry Gates,4.63
616,Stephanie Burt,
617,Homi Bhabha,4.57
619,Deidre Lynch,5.0
620,Christopher Pexa,
621,Gordon Teskey,4.83
682,Steven Wofsy,4.11
682,Bryan Yoon,4.11
672,Eli Tziperman,4.46
675,Eli Tziperman,5.0
676,Daniel Jacob,4.63
678,Elsie Sunderland,
687,Elaine Buckberg,3.8
691,George Baker,4.52
683,Carrie Jenks,
684,Ken Thomas,4.0
685,Kari Nadeau,4.94
510,Eric Henson,4.0
516,Americo Mendoza-Mori,3.73
517,Americo Mendoza-Mori,4.26
518,Leslie Fernandez,5.0
519,Leslie Fernandez,4.88
520,Soham Patel,4.95
521,Jacinda Tran,
508,Eleanor Craig,4.55
509,Mandy Izadi,
695,Sheza Alqera,4.53
695,Sheza Alqera,4.07
695,Katie Baca,4.38
695,Douglas Bafford,4.0
695,Douglas Bafford,4.18
695,Collier Brown,4.38
695,Vivien Chung,3.5
695,Vivien Chung,
695,Matthew Cole,3.75
695,Matthew Cole,3.91
695,Samuel Garcia,4.3
695,Samuel Garcia,3.89
695,J. Gregory Given,4.58
695,Alexandra Gold,4.73
695,Alexandra Gold,4.8
695,Ethan Goldberg,4.36
695,Ethan Goldberg,4.13
695,James Herron,4.77
695,Eliza Holmes,4.36
695,Eliza Holmes,
695,Isabel Lane,
695,Isabel Lane,4.0
695,Ross Martin,4.87
695,Ross Martin,4.8
695,Keating McKeon,4.9
695,Keating McKeon,4.62
695,Rachel Meyer,3.64
695,Ryan Napier,3.91
695,Ryan Napier,4.33
695,Brian Pietras,
695,Brian Pietras,4.0
695,Kelsey Quigley,4.75
695,Kelsey Quigley,4.56
695,Emilie Raymer,4.46
695,Emilie Raymer,4.45
695,Jane Rosenzweig,4.63
695,Adam Scheffler,4.45
695,Adam Scheffler,3.82
695,Ian Shank,4.71
695,Ian Shank,4.64
695,Gillian Sinnott,4.63
695,Stephen Spencer,3.56
695,Stephen Spencer,3.67
695,Tracy Strauss,4.71
695,Tracy Strauss,3.8
695,Elliott Turley,
695,Elliott Turley,4.6
695,Rob Willison,4.82
695,Rob Willison,3.8
695,Mande Zecca,4.64
695,Mande Zecca,
695,Tad Davies,4.25
695,Margaret Deli,3.2
695,Margaret Deli,4.13
695,Jodi Johnson,4.5
695,Jonah Johnson,4.5
695,Hannah Kauders,4.17
695,Hannah Kauders,5.0
695,Taleen Mardirossian,
695,Taleen Mardirossian,4.67
695,Ben Parson,4.5
695,Ben Parson,4.75
695,John Sampson,4.71
695,John Sampson,
695,Peter Vilbig,5.0
695,Peter Vilbig,4.14
695,Patricia Bellanca,4.0
697,Erika Bailey,5.0
697,Kate Clarke,5.0
697,Nicholas Coburn-Palo,4.88
697,Nicholas Coburn-Palo,
697,Terry Gipson,
697,Terry Gipson,4.92
697,James Montano,4.69
697,James Montano,4.92
697,Zachary Stuart,5.0
697,Zachary Stuart,5.0
726,Abraham Loeb,4.5
733,Jerome Groopman,4.83
736,Nancy Etcoff,3.89
738,Laura Prager,4.67
749,Carol Oja,4.75
756,James Hanken,5.0
757,Oliver Hart,4.92
763,Aravinthan Samuel,4.6
766,Hongkun Park,
771,Norman Yao,5.0
773,Daniel Kahne,4.71
773,Sien Verschave,4.71
774,Gojko Barjamovic,5.0
783,Phillip Howze,4.0
793,Tomiko Brown-Nagin,4.8
796,Susan Block,4.42
797,Elhanan Helpman,3.91
807,Susanna Rinard,
808,Shai Dromi,5.0
702,Sarah Craycraft,5.0
699,Sarah Craycraft,3.92
700,Felicity Lufkin,4.56
811,Melani Cammett,3.89
812,Ambrogio Camozzi Pistoja,3.33
814,Lucas Stanczyk,3.81
818,Sarah Lewis,4.45
819,Christopher Robichaud,
821,Bridget Alex,4.27
821,Daniel Lieberman,4.27
823,Philip Sadler,4.54
824,Charles Czeisler,4.1
824,Frank Scheer,
827,Joshua Greene,4.02
829,Edward Hall,
832,Stephanie Sandler,3.69
834,David Holland,4.43
835,Sue Goldie,4.34
836,Steven Pinker,3.61
837,William Kirby,4.09
838,Dimitar Sasselov,3.63
844,Jinah Kim,3.83
844,Eugene Wang,
849,Brendan Meade,4.83
853,Eric Heller,3.86
854,Rachel Love,3.78
855,Alyssa Goodman,3.31
856,Robin Bernstein,4.39
858,Orlando Patterson,3.32
860,Christina Davis,3.83
862,Venkatesh Murthy,4.1
867,Michael McElroy,4.14
870,Maria Gough,3.77
870,David Joselit,3.77
870,Ewa Lajer-Burcharth,3.77
871,Kaighin McColl,4.64
872,Sven Beckert,4.06
873,Jay Harris,3.43
877,Naomi Weiss,4.35
879,Jenny Carballo,3.77
880,Elizabeth Lunbeck,4.39
882,Annabel Kim,4.13
884,Beth Blum,4.17
885,Logan McCarty,
885,Christopher Stubbs,3.83
886,Elizabeth City,4.69
887,L Mahadevan,4.25
893,,5.0
894,,4.88
894,,4.38
901,,4.8
902,,4.5
902,,4.33
896,,5.0
898,,
903,,4.86
1759,Agnes Broome,4.73
905,Jessica Cohen,3.92
907,Stephanie Kayden,4.22
907,Michael VanRooyen,4.22
908,David Cutler,3.83
908,David Cutler,4.4
908,David Cutler,5.0
909,Eric Beerbohm,4.06
951,Yuhua Wang,3.86
981,Stephen Chaudoin,
983,Naijia Liu,4.33
984,George Soroka,
985,Michael Rosen,5.0
989,Nara Dillon,4.43
991,Jennifer Halen,2.89
992,Avishay Ben Sasson-Gordis,4.0
994,Grzegorz Ekiert,
996,Gabriel Katsh,4.71
999,Alastair Johnston,4.89
1000,Connor Jerzak,3.9
1002,Julie Weaver,4.89
1003,Mashail Malik,4.75
1005,Jack Huguley,
1006,Theda Skocpol,4.6
1008,Ofrit Liviatan,
1009,Amy Chandran,
1012,Arthur Applbaum,4.82
1014,Shanna Weitz,4.62
1016,Sparsha Saha,4.75
1018,Yuhua Wang,4.86
911,Kanglin Chen,4.6
912,Chase Harrison,4.0
914,Roberto Mangabeira Unger,
915,Emma Saunders-Hastings,4.68
917,Matthew Landauer,4.44
918,Roberto Mangabeira Unger,3.89
919,Alisha Holland,4.65
920,Sarah Hummel,4.45
921,Daniel Ziblatt,4.57
923,Alexandra Vacroux,5.0
924,Peter Hall,4.43
925,Arvid Bell,4.65
926,Grzegorz Ekiert,4.31
927,Stephen Jones,4.5
930,Steven Levitsky,4.71
931,James Snyder,5.0
932,Sparsha Saha,3.88
935,Leonie Beyrle,4.35
935,Latanya Sweeney,
938,Daniel Carpenter,
940,Matthew Baum,3.4
941,Stephen Ansolabehere,
942,Michael Hiscox,4.55
945,Jeffrey Friedman,4.33
946,Michael Hiscox,4.38
952,Kosuke Imai,4.13
956,Melani Cammett,4.0
956,Frances Hagopian,4.0
957,Connor Jerzak,3.43
957,Naijia Liu,3.43
959,Matthew Landauer,4.0
960,Katrina Forrester,4.33
960,Michael Rosen,4.33
961,Torben Iversen,5.0
961,Yuhua Wang,5.0
963,Alisha Holland,4.91
966,Elizabeth Perry,5.0
968,Stephen Ansolabehere,4.71
969,Theda Skocpol,5.0
969,Daniel Ziblatt,5.0
972,Jeffrey Friedman,4.83
973,Jeffry Frieden,5.0
976,Stephen Ansolabehere,4.67
976,Stephanie Ternullo,4.67
978,Christina Davis,4.67
978,Christoph Mikulaschek,3.0
979,Jeffry Frieden,4.8
979,Pia Raffler,4.8
980,,3.5
980,,3.5
980,Naijia Liu,3.5
1225,Mary Beth Landrum,
1225,Meredith Rosenthal,4.17
1116,Aaron Bekemeyer,5.0
1125,Tara Suri,4.46
1127,Camden Elliott,4.89
1130,Jesse Hoffnung-Garskof,4.45
1131,Ian Kumekawa,4.92
1132,Sage Goodwin,
1157,Serhii Plokhii,4.56
1158,Lisa McGirr,4.43
1161,Erez Manela,4.44
1162,Ann Blair,4.45
1163,Maya Jasanoff,4.83
1164,Lizabeth Cohen,4.3
1165,Derek Penslar,4.83
1166,George Aumoithe,
1168,Carla Heelan,4.71
1094,Rosie Bsheer,
1097,Cemal Kafadar,4.28
1099,Flynn Cratty,4.67
1101,Gabe Pizzorno,4.22
1104,David Spreen,4.67
1105,Fredrik Logevall,4.44
1106,Lorenzo Bondioli,5.0
1109,Laura Weinrib,4.89
1111,Aaron Bekemeyer,
1119,Peter Gordon,4.75
1121,Kirsten Weld,4.13
1129,Arunabh Ghosh,4.53
1133,Emmanuel Akyeampong,4.6
1139,Kirsten Weld,4.38
1140,Tamar Herzog,
1141,Sven Beckert,
1142,Sidney Chalhoub,4.2
1145,Joyce Chaplin,4.71
1146,Katie Holmes,4.83
1147,Rebecca Lossin,3.8
1153,Terry Martin,4.8
1170,Lilly Havstad,4.83
1175,Matthew Sohm,
1185,Patrick Sylvain,
1186,Steven Biel,4.85
1187,Jules Riegel,5.0
1188,Jorge Sanchez Cruz,4.8
1189,Lauren Kaminsky,5.0
1191,Laura Quinton,4.86
1193,Thomas Dichter,4.0
1028,Patricio del Real,
1030,Seth Estrin,4.57
1033,Shawon Kinew,4.07
1039,Brenda Croft,2.57
1042,Yukio Lippit,5.0
1055,Ian Miley,5.0
1057,Jennifer L. Roberts,4.58
1059,Isabel Bird,
1059,Jennifer L. Roberts,
1061,Carrie Lambert-Beatty,
1027,Vishal Khandelwal,4.29
1027,Jinah Kim,4.29
1027,Gulru Necipoglu-Kafadar,4.29
1029,Gulru Necipoglu-Kafadar,4.71
1031,Seth Estrin,5.0
1037,Ewa Lajer-Burcharth,4.88
1038,Maria Gough,5.0
1038,Vishal Khandelwal,
1044,Suzanne Blier,
1049,Jeffrey Hamburger,
1051,Joachim Homann,
1051,Kate Smith,5.0
1219,Alex Csiszar,4.21
1219,Rebecca Lemov,4.21
1219,Alex Csiszar,4.27
1219,Rebecca Lemov,
1221,Rebecca Lemov,4.64
1221,Simon Torracinta,4.64
1221,Spencer Weinreich,4.64
1223,Erik Baker,4.58
1197,Eram Alam,4.8
1199,Peter Galison,3.0
1199,Robb Moss,3.0
1200,Leslie-William Robinson,4.77
1204,Matthew Hersch,
1206,Simon Torracinta,4.71
1208,Spencer Weinreich,4.6
1209,Erik Baker,
1214,Matthew Hersch,4.83
1215,Sheila Jasanoff,
1218,Eram Alam,4.43
1089,Abby Desmond,4.0
1089,Julie Lawrence,4.0
1066,Andrew Yegian,
1067,Kevin Uno,4.86
1069,Joseph Henrich,4.67
1073,Kristin Sabbi,4.0
1074,Andrew Yegian,4.22
1075,Jo Matott,4.38
1077,Barbara Horowitz,4.59
1078,Joyce Benenson,4.83
1079,Martin Surbeck,4.6
1080,Erin Hecht,
1086,Abby Desmond,4.32
1088,Jo Matott,4.04
1227,David Armitage,4.11
1227,Glenda Carpio,4.11
1227,David Elmer,4.11
1227,Tara Menon,4.11
1227,Kelly Rich,4.11
1227,Namwali Serpell,4.11
1303,Andrew Bottoms,4.83
1304,Andrew Bottoms,5.0
1305,Kathryn Davidson,
1307,Nozomi Tomita,4.0
1308,Kathryn Franich,
1311,Yagmur Sag-Parvardeh,4.75
1293,C.-T. James Huang,4.75
1296,Kathryn Franich,
1297,Yagmur Sag-Parvardeh,
1300,Kevin Ryan,4.5
1374,,3.75
1374,Mario Stipcic,3.75
1374,,4.25
1374,Kate Penner,4.25
1374,,4.09
1374,Brendan Kelly,4.09
1374,,4.0
1374,Matthew Cavallo,4.13
1374,,4.11
1374,Mario Stipcic,
1374,Matthew Cavallo,4.4
1374,,4.0
1374,Michael Nathanson,4.0
1374,,4.27
1374,,3.4
1374,Justin Hancock,3.4
1374,,4.14
1374,Michael Nathanson,4.14
1374,,4.25
1374,Anda Tenie,4.25
1338,Oliver Knill,3.59
1340,Leon Liu,3.63
1340,,
1340,Jiakai Li,
1340,,3.82
1340,Amadeus Martin,4.5
1340,Sofiia Dubova,4.5
1340,,4.5
1340,Amadeus Martin,4.6
1340,,4.14
1340,Jit Wu Yap,4.14
1340,Hannah Constantin,
1340,,
1340,Hannah Constantin,4.0
1340,,4.0
1345,Roderic Guigo Corominas,4.58
1345,Roderic Guigo Corominas,4.2
1345,,3.9
1345,Matteo Parisi,3.9
1345,,
1345,Fanhui Xu,3.64
1345,,4.38
1345,Eva Politou,
1345,,3.8
1345,Fanhui Xu,
1345,,
1345,Wanchun (Rosie) Shen,
1345,Jonier Amaral Antunes,3.8
1345,,
1345,Jonier Amaral Antunes,4.24
1345,,4.24
1347,,4.05
1347,Erica Dinkins,4.05
1347,,3.57
1347,Alice Lin,3.57
1347,,4.0
1347,,3.8
1347,Jill Guerra,
1347,,3.54
1347,Erica Dinkins,3.54
1347,Jaewon Chang,3.4
1347,,3.4
1347,,3.82
1347,Jiyang Gao,3.82
1347,,
1347,Jill Guerra,3.69
1347,Matthew Demers,4.0
1347,Amanda Burcroff,
1347,,3.64
1347,,3.5
1347,Matthew Demers,
1353,Denis Auroux,3.9
1362,Christopher Eur,
1369,Joseph Harris,4.81
1371,Clifford Taubes,4.75
1314,Stephen McKean,4.15
1316,Yum-Tong Siu,3.0
1319,John Cain,4.19
1320,Janet Chen,
1322,Mark Kisin,3.74
1324,Barry Mazur,
1325,Gage Martin,4.4
1327,Benjamin Gammage,3.25
1329,Austin Conner,4.13
1330,W. Hugh Woodin,4.33
1331,Kevin Yang,3.83
1333,Joseph Harris,4.27
1334,Puskar Mondal,4.83
1341,Horng-Tzer Yau,3.67
1343,Peter Kronheimer,4.46
1349,Noam Elkies,3.71
1351,Yuriy Drozd,4.0
1356,Hana Jia Kong,5.0
